District,Type,A24,A5P,MH,SFA,SFD,GQ
CT85,Metropolitan,0,3228,0,0,3143,0
CT85,Metropolitan,0,0,0,0,684,0
CT86,Metropolitan,0,1639,0,396,4999,0
CT86,Metropolitan,0,1616,0,582,835,0
CT86,Metropolitan,0,0,0,0,3938,0
CT87,Metropolitan,0,538,0,0,2652,0
CT87,Metropolitan,0,511,0,0,534,0
CT87,Metropolitan,0,1235,0,493,11911,0
CT88,Metropolitan,0,0,0,0,0,0
CT88,Metropolitan,0,5206,0,947,6685,0
CT88,Metropolitan,0,708,0,271,8692,0
CT89,Metropolitan,0,0,0,570,6142,0
CT89,Metropolitan,0,2921,0,538,2921,0
CT89,Metropolitan,0,0,0,0,2404,0
CT90,Metropolitan,0,2822,0,0,0,0
CT90,Metropolitan,0,925,0,0,1648,0
CT90,Metropolitan,0,0,0,0,6612,0
CT91,Metropolitan,0,1318,0,0,1164,0
CT91,Metropolitan,0,931,0,1866,4708,0
CT91,Metropolitan,0,0,0,0,653,0
CT92,Metropolitan,0,0,0,506,1811,0
CT92,Metropolitan,0,0,0,0,4538,0
CT92,Metropolitan,0,1126,0,0,1298,0
CT93,Metropolitan,0,0,0,643,1740,0
CT93,Metropolitan,0,0,0,0,250,0
CT93,Metropolitan,0,2540,0,281,6977,0
CT94,Metropolitan,0,0,0,0,1534,0
CT94,Metropolitan,0,2125,0,0,5222,0
CT94,Metropolitan,0,0,0,176,6602,0
CT95,Metropolitan,0,0,0,0,4765,0
CT95,Metropolitan,0,534,0,0,662,0
CT95,Metropolitan,0,247,0,298,1549,0
CT96,Metropolitan,0,0,0,0,1872,0
CT96,Metropolitan,0,1693,0,1897,5350,0
CT96,Metropolitan,0,1916,0,368,2921,0
CT97,Metropolitan,0,0,0,0,4253,0
CT97,Metropolitan,0,0,0,0,1222,0
CT97,Metropolitan,0,1636,0,1027,8657,0
CT98,Metropolitan,0,2492,0,0,5968,0
CT98,Metropolitan,0,0,0,0,0,0
CT98,Metropolitan,0,0,0,0,0,0
CT99,Metropolitan,0,0,0,493,1319,0
CT99,Metropolitan,0,0,0,0,3683,0
CT99,Metropolitan,0,578,0,0,5296,0
CT100,Metropolitan,0,0,0,0,0,0
CT100,Metropolitan,0,0,0,311,7874,0
CT100,Metropolitan,0,1523,0,1097,3859,0
CT101,Metropolitan,0,0,0,0,4226,0
CT101,Metropolitan,0,0,0,0,0,0
CT101,Metropolitan,0,1198,0,294,1469,0
CT102,Metropolitan,0,733,0,0,372,0
CT102,Metropolitan,0,0,0,0,0,0
CT102,Metropolitan,0,1601,0,0,4906,0
CT103,Metropolitan,0,0,0,0,2575,0
CT103,Metropolitan,0,0,0,0,0,0
CT103,Metropolitan,0,0,0,685,3120,0
CT104,Metropolitan,0,547,0,0,1492,0
CT104,Metropolitan,0,2452,0,0,4950,0
CT104,Metropolitan,0,742,0,284,4151,0
CT105,Metropolitan,0,1196,0,0,2480,0
CT105,Metropolitan,0,0,0,0,5418,0
CT105,Metropolitan,0,0,0,0,3142,0
CT106,Metropolitan,0,559,0,278,3203,0
CT106,Metropolitan,0,1325,0,1206,6762,0
CT106,Metropolitan,0,0,0,0,1955,0
CT107,Metropolitan,0,0,0,634,2336,0
CT107,Metropolitan,0,0,0,0,0,0
CT107,Metropolitan,0,672,0,0,1058,0
CT108,Metropolitan,0,0,0,0,0,0
CT108,Metropolitan,0,0,0,0,0,0
CT108,Metropolitan,0,0,0,0,0,0
CT109,Metropolitan,0,0,0,161,0,0
CT109,Metropolitan,0,0,0,0,0,0
CT109,Metropolitan,0,0,0,0,526,0
CT110,Metropolitan,0,0,0,0,0,0
CT110,Metropolitan,0,0,0,0,3377,0
CT110,Metropolitan,0,499,0,0,4682,0
CT111,Metropolitan,0,0,0,0,0,0
CT111,Metropolitan,0,0,0,0,602,0
CT111,Metropolitan,0,0,0,343,3535,0
CT112,Metropolitan,0,0,0,355,5600,0
CT112,Metropolitan,0,0,0,0,6820,0
CT112,Metropolitan,0,839,0,290,4850,0
CT113,Metropolitan,0,0,0,0,0,0
CT113,Metropolitan,0,0,678,0,1463,0
CT113,Metropolitan,0,0,0,0,0,0
CT114,Metropolitan,0,0,0,0,6311,0
CT114,Metropolitan,0,0,0,343,1645,0
CT114,Metropolitan,0,486,0,922,1150,0
CT115,Metropolitan,0,278,0,242,922,0
CT115,Metropolitan,0,0,0,707,12295,0
CT115,Metropolitan,0,0,0,0,4610,0
CT116,Metropolitan,0,0,0,0,6127,0
CT116,Metropolitan,0,497,0,0,14970,0
CT116,Metropolitan,0,0,0,0,5964,0
CT117,Metropolitan,0,0,0,0,10241,0
CT117,Metropolitan,0,0,0,0,13874,0
CT117,Metropolitan,0,0,0,1010,6912,0
CT118,Metropolitan,0,1111,0,794,0,0
CT118,Metropolitan,0,0,0,0,701,0
CT118,Metropolitan,0,0,0,0,1836,0
CT119,Metropolitan,0,0,0,0,1862,0
CT119,Metropolitan,0,0,0,0,487,0
CT119,Metropolitan,0,401,0,685,2137,0
CT120,Metropolitan,0,0,0,0,2759,0
CT120,Metropolitan,0,0,0,0,1882,0
CT120,Metropolitan,0,614,0,0,3104,0
CT121,Metropolitan,0,0,0,0,0,0
CT121,Metropolitan,0,0,0,0,3721,0
CT121,Metropolitan,0,0,0,0,1021,0
CT122,Metropolitan,0,0,0,259,2966,0
CT122,Metropolitan,0,0,0,0,6982,0
CT122,Metropolitan,0,0,0,186,794,0
CT123,Metropolitan,0,665,0,252,4116,0
CT123,Metropolitan,0,2551,0,208,2058,0
CT123,Metropolitan,0,0,0,432,3625,0
CT124,Metropolitan,0,0,0,0,4400,0
CT124,Metropolitan,0,0,0,0,1757,0
CT124,Metropolitan,0,0,0,0,1734,0
CT125,Metropolitan,0,0,0,0,8963,0
CT125,Metropolitan,0,0,0,0,10673,0
CT125,Metropolitan,0,0,0,0,2652,0
CT126,Metropolitan,0,0,0,0,1626,0
CT126,Metropolitan,0,0,0,614,2954,0
CT126,Metropolitan,0,0,0,0,5095,0
CT127,Metropolitan,0,0,0,487,3478,0
CT127,Metropolitan,0,0,0,0,3502,0
CT127,Metropolitan,0,0,0,0,8114,0
CT128,Metropolitan,0,0,0,0,0,0
CT128,Metropolitan,0,0,0,0,3638,0
CT128,Metropolitan,0,0,0,0,746,0
CT129,Metropolitan,0,0,0,0,2684,0
CT129,Metropolitan,0,0,0,0,2594,0
CT129,Metropolitan,0,0,0,0,1394,0
CT130,Metropolitan,0,0,0,0,3953,0
CT130,Metropolitan,0,852,0,0,12205,0
CT130,Metropolitan,0,1885,0,0,0,0
CT131,Metropolitan,0,0,0,0,0,0
CT131,Metropolitan,0,0,0,0,0,0
CT131,Metropolitan,0,0,0,0,0,0
CT132,Metropolitan,0,0,0,0,0,0
CT132,Metropolitan,0,1255,0,0,0,0
CT132,Metropolitan,0,0,0,0,0,0
CT133,Metropolitan,0,0,0,0,0,0
CT133,Metropolitan,0,3312,0,854,2018,0
CT133,Metropolitan,0,1615,0,0,829,0
CT134,Metropolitan,0,0,0,0,1440,0
CT134,Metropolitan,0,0,0,0,2621,0
CT134,Metropolitan,0,0,0,0,100,0
CT135,Metropolitan,0,1388,0,876,5143,0
CT135,Metropolitan,0,313,0,179,1817,0
CT135,Metropolitan,0,1818,0,0,0,0
CT136,Metropolitan,0,0,0,0,0,0
CT136,Metropolitan,0,762,0,0,906,0
CT136,Metropolitan,0,242,0,211,0,0
CT137,Metropolitan,0,614,0,0,532,0
CT137,Metropolitan,0,1476,0,0,0,0
CT137,Metropolitan,0,0,0,0,0,0
CT138,Metropolitan,0,1342,0,634,3884,0
CT138,Metropolitan,0,0,0,0,2681,0
CT138,Metropolitan,0,0,0,0,589,0
CT139,Metropolitan,0,0,0,0,516,0
CT139,Metropolitan,0,0,0,0,0,0
CT139,Metropolitan,0,0,0,284,4487,0
CT140,Metropolitan,0,233,0,511,1984,0
CT140,Metropolitan,0,887,0,0,221,0
CT140,Metropolitan,0,0,0,0,0,0
CT141,Metropolitan,0,908,0,272,1188,0
CT141,Metropolitan,0,526,0,0,0,0
CT141,Metropolitan,0,0,0,516,698,0
CT142,Metropolitan,0,0,0,0,3412,0
CT142,Metropolitan,0,0,0,0,775,0
CT142,Metropolitan,0,0,0,0,0,0
CT143,Metropolitan,0,0,0,0,0,0
CT143,Metropolitan,0,1505,0,0,912,0
CT143,Metropolitan,0,0,0,0,236,0
CT144,Metropolitan,0,0,0,0,284,0
CT144,Metropolitan,0,1396,0,0,0,0
CT144,Metropolitan,0,6275,743,234,6868,0
CT145,Metropolitan,0,4163,0,566,6090,0
CT145,Metropolitan,0,2404,374,0,3890,0
CT145,Metropolitan,0,953,0,0,4675,0
CT146,Metropolitan,0,0,278,770,1012,0
CT146,Metropolitan,0,0,0,0,223,0
CT146,Metropolitan,0,2250,0,589,4243,0
CT147,Metropolitan,0,1158,0,1440,3510,0
CT147,Metropolitan,0,0,0,0,1414,0
CT147,Metropolitan,0,0,0,0,4896,0
CT148,Metropolitan,0,0,0,144,3322,0
CT148,Metropolitan,0,3638,0,2959,8592,0
CT148,Metropolitan,0,7446,0,198,0,0
CT149,Metropolitan,0,966,0,0,858,0
CT149,Metropolitan,0,1703,0,0,4992,0
CT149,Metropolitan,0,2736,0,1980,3578,0
CT150,Metropolitan,0,144,0,0,326,0
CT150,Metropolitan,0,2275,0,1452,1018,0
CT150,Metropolitan,0,5683,0,0,1687,0
CT151,Metropolitan,0,3056,0,234,1582,0
CT151,Metropolitan,0,0,0,343,1494,0
CT151,Metropolitan,0,0,0,0,0,0
CT152,Metropolitan,0,1594,0,0,0,0
CT152,Metropolitan,0,0,0,380,1350,0
CT152,Metropolitan,0,0,0,0,6468,0
CT153,Metropolitan,0,770,0,0,3012,0
CT153,Metropolitan,0,0,0,0,566,0
CT153,Metropolitan,0,0,0,0,0,0
CT154,Metropolitan,0,0,0,0,1446,0
CT154,Metropolitan,0,0,223,386,900,0
CT154,Metropolitan,0,272,0,762,4246,0
CT155,Metropolitan,0,0,0,0,848,0
CT155,Metropolitan,0,0,0,0,2845,0
CT155,Metropolitan,0,0,0,0,0,0
CT156,Metropolitan,0,0,0,390,925,0
CT156,Metropolitan,0,641,0,461,5047,0
CT156,Metropolitan,0,413,0,0,1534,0
CT157,Metropolitan,0,401,0,221,2611,0
CT157,Metropolitan,0,0,0,0,0,0
CT157,Metropolitan,0,0,374,0,259,0
CT158,Metropolitan,0,1801,0,1217,2681,0
CT158,Metropolitan,0,0,0,0,0,0
CT158,Metropolitan,0,0,0,0,614,0
CT159,Metropolitan,0,0,0,0,305,0
CT159,Metropolitan,0,0,0,0,3923,0
CT159,Metropolitan,0,272,0,0,3838,0
CT160,Metropolitan,0,0,0,0,0,0
CT160,Metropolitan,0,0,0,0,0,0
CT160,Metropolitan,0,0,0,0,678,0
CT161,Metropolitan,0,3074,0,326,772,0
CT161,Metropolitan,0,0,0,0,0,0
CT161,Metropolitan,0,0,0,0,0,0
CT162,Metropolitan,0,0,0,0,3431,0
CT162,Metropolitan,0,0,0,0,0,0
CT162,Metropolitan,0,0,0,0,0,0
CT163,Metropolitan,0,0,0,0,401,0
CT163,Metropolitan,0,0,0,0,0,0
CT163,Metropolitan,0,0,0,0,0,0
CT164,Metropolitan,0,0,0,0,0,0
CT164,Metropolitan,0,0,0,0,0,0
CT164,Metropolitan,0,0,0,0,0,0
