District,TotHh,TotHhPop,GroupPop,HhPerCapInc
13097080402,3107,8752,0,26870.67
13097080403,1740,4744,0,25221.04
13097080404,3213,8571,0,21890.37
13097080505,1663,4472,0,24171.88
13097080506,2246,6338,0,22812.65
13097080507,1424,4190,0,27860.77
13097080508,2351,5749,0,28539.12
13097080509,2002,5535,0,35167.26
13097080510,2715,7989,0,25779.26
13097080511,3036,8686,0,31317.84
13097080602,1959,5440,0,25684.35
13097080603,2443,6817,0,27919.58
13097080604,3422,10221,0,29011.78
13113140101,2687,7663,0,34694.76
13113140102,2182,6012,0,31431.95
13113140203,2079,5594,0,32349.97
13113140204,1726,5404,0,28968.26
13113140206,1639,4748,0,36450.88
13113140207,2256,5711,0,46355.28
13113140208,2774,7838,0,23291.9
13113140303,1726,4885,0,13129.36
13113140304,2243,6067,0,37822.78
13113140305,1551,4283,0,36313.69
13113140306,2691,7501,0,20652.82
13113140307,1471,5175,0,38061.26
13113140403,1979,5526,0,31717.41
13113140404,2097,5636,0,28433.16
13113140405,1254,3676,0,37601.98
13113140406,1466,3457,0,37621.33
13113140407,2983,7403,0,28436.64
13113140408,1129,3539,0,29344.56
13113140501,2119,6402,0,33149.91
13113140502,1217,3531,0,29584.96
13117130101,1587,4010,0,31776.39
13117130102,1035,2697,0,34518.81
13117130103,1611,4184,0,25313.52
13117130104,1817,4366,0,33278.61
13117130105,1276,3582,0,18723.22
13117130201,2586,7241,0,29543.06
13117130202,1773,5178,0,30525.93
13117130203,2291,6417,0,27591.43
13117130204,2029,5516,0,28031.24
13117130205,1078,2740,0,20042.49
13117130301,2021,5950,0,27856.95
13117130302,1944,5563,0,38040.51
13117130303,1663,4489,0,28745.83
13117130304,1443,4274,0,38663.66
13117130305,1827,5004,0,35843.67
13117130306,1756,4638,0,47086.77
13117130307,1574,4479,0,30315.3
13117130403,2596,7214,0,25957.6
13117130404,1354,4111,0,30843.21
13117130405,1599,4380,0,30364.28
13117130406,1982,5823,0,14517.25
13117130408,1627,4719,0,19522.64
13117130409,1278,3276,0,33508.24
13117130410,1807,4108,0,17531
13117130503,1277,3014,0,37988.01
13117130504,1920,4574,0,34903
13117130505,1501,3766,0,40802.79
13117130506,1516,3822,0,38774.41
13117130507,1168,2681,0,39638.13
13117130508,1798,5266,0,42313.07
13117130509,1386,3704,0,32793.99
13117130510,2073,5784,0,34683.83
13117130601,1458,3983,0,34284.7
13117130602,1652,5115,0,18252.15
13117130603,1393,4191,0,45995.49
13117130604,1737,5191,0,39155.34
13117130605,1653,4437,0,34686.59
13117130606,1533,4415,0,39592.78
13117130607,1799,5105,0,41119.78
13117130608,1670,4917,0,42011.3
13117130609,1508,4824,0,35403.61
13117130610,1589,4566,0,44109.28
13117130611,1217,3666,0,44436.44
13117130612,1994,5919,0,42177.9
13117130613,1058,2741,0,38992.56
13121000100,1949,3672,0,63460.79
13121000200,2821,4869,0,60309.34
13121000400,1280,2003,0,58345.1
13121000500,3079,4665,0,45019.65
13121000600,2558,5143,0,12858.07
13121000700,395,770,0,17893.93
13121001001,1173,2533,0,12899.18
13121001002,576,1074,0,7813.735
13121001100,2864,4328,0,32224.52
13121001201,2873,4059,0,45035.56
13121001202,3279,4164,0,42260.28
13121001300,2469,3727,0,39430.47
13121001400,1514,2126,0,52552.89
13121001500,2754,3906,0,43421.35
13121001600,1596,2252,0,41846.1
13121001700,1607,2774,0,20462.07
13121001800,3369,4990,0,29879.06
13121001900,1593,2574,0,15926.89
13121002100,1258,1906,0,23564.89
13121002300,1100,2434,0,12316.05
13121002400,941,2038,0,14262.67
13121002500,1076,2000,0,11872.37
13121002600,575,1177,0,15799.4
13121002800,1407,2365,0,14467.58
13121002900,1390,2233,0,21257.72
13121003000,1721,2778,0,53308.03
13121003100,790,1690,0,21424.41
13121003200,1380,2174,0,25765.95
13121003500,1098,1805,0,12750.49
13121003600,788,1332,0,18530.82
13121003700,88,244,0,11507.68
13121003800,319,631,0,13947.73
13121003900,604,1341,0,13391.68
13121004000,882,1956,0,24203.23
13121004100,783,1893,0,24193.02
13121004200,1334,2444,0,13846.96
13121004300,569,935,0,24089.43
13121004400,994,2120,0,26259.03
13121004800,707,1597,0,7552.227
13121004900,1138,2193,0,35073.41
13121005000,1017,1924,0,30809.89
13121005200,1971,4087,0,25145.85
13121005300,1671,3445,0,27502.82
13121005501,914,2441,0,9763.102
13121005502,1133,2473,0,11694.03
13121005700,651,1613,0,12237.16
13121005800,516,1454,0,9355.806
13121006000,1357,3131,0,17529.94
13121006100,1331,3165,0,17478.59
13121006200,472,1134,0,11460.08
13121006300,770,1751,0,11816.56
13121006400,459,1515,0,7593.086
13121006500,1415,3643,0,18759.19
13121006601,963,2252,0,15246.4
13121006602,484,1155,0,14819.7
13121006700,1598,3909,0,12917.05
13121006801,13,35,0,14319.71
13121006802,504,1829,0,9384.905
13121006900,1325,3341,0,15151.5
13121007001,1409,3857,0,15793.62
13121007002,1062,3657,0,9006.616
13121007100,808,2394,0,9755.042
13121007200,708,2096,0,7535.765
13121007300,2556,6863,0,12003.73
13121007400,1235,3553,0,12421.03
13121007500,1959,3492,0,16799.7
13121007602,927,2231,0,19281.02
13121007603,2103,3961,0,18480.64
13121007604,1166,2438,0,16723.18
13121007703,1542,3588,0,25424.99
13121007704,1776,4159,0,21226.82
13121007705,1890,3839,0,15827.38
13121007706,3826,8607,0,19504.83
13121007802,3246,8485,0,30338.44
13121007805,1478,3602,0,21119.96
13121007806,2088,5024,0,18929.35
13121007807,1036,2704,0,16438.47
13121007808,1531,3836,0,12373.83
13121007900,2251,5274,0,29750.34
13121008000,2031,4836,0,21043.92
13121008101,397,927,0,18528.98
13121008102,2702,5787,0,16491.82
13121008201,2610,5957,0,19559.07
13121008202,998,2550,0,33912.27
13121008301,1246,2971,0,9192.704
13121008302,1018,2268,0,14048.13
13121008400,1683,3891,0,11065.84
13121008500,1710,4285,0,13338.04
13121008601,1693,4411,0,11736.67
13121008602,519,1778,0,5436.972
13121008700,2033,5204,0,11647.4
13121008800,2206,4749,0,14480.08
13121008902,4111,6994,0,27365.03
13121008903,860,2021,0,8763.992
13121008904,2605,4514,0,38794.19
13121009000,2072,3886,0,65127.75
13121009101,3085,4324,0,39337.09
13121009102,2423,3488,0,33668.51
13121009200,4620,7353,0,37057.05
13121009300,2896,4571,0,69169.65
13121009402,2099,4847,0,33087.66
13121009403,3323,4617,0,51091.12
13121009404,2633,4077,0,77085.2
13121009501,1933,3808,0,82577.89
13121009502,2816,3847,0,57746.27
13121009601,1595,2444,0,59967.1
13121009602,2888,4318,0,57309.31
13121009603,2821,4067,0,45909.07
13121009700,1497,3196,0,71653.33
13121009801,2026,4273,0,71191.03
13121009802,1925,3956,0,76082.34
13121009900,2306,4352,0,78530.18
13121010001,2419,4041,0,66597.61
13121010002,3536,6501,0,65062.48
13121010106,2014,4367,0,50540.54
13121010107,702,2121,0,56250.11
13121010108,1522,4382,0,56697.85
13121010110,3082,5522,0,37862.62
13121010113,2637,5876,0,24585.62
13121010114,3009,6033,0,49045.42
13121010115,1123,2380,0,37014.35
13121010117,1814,3126,0,35939.68
13121010118,2323,4686,0,38682.92
13121010119,2271,4897,0,36038.13
13121010120,1216,2441,0,43854.57
13121010121,1019,1707,0,73379.34
13121010122,3113,5559,0,41434.07
13121010123,2057,4170,0,35315.21
13121010204,1954,5141,0,63451.91
